Code;fclass; Color; Display scale (meters);OSM Tags;Description
5111;motorway; Bold orange;1000;highway=motorway;Motorway/freeway
5112;trunk; Bold orange;1000;highway=trunk;Important roads, typically divided
5113;primary; SemiBold yellow;1000;highway=primary;Primary roads, typically national.
5114;secondary; Semibold yellow;1000;highway=secondary;Secondary roads, typically regional.
5115;tertiary; Thin gray;500;highway=tertiary;Tertiary roads, typically local.
5121;unclassified; Thin gray;100;highway=unclassified;Smaller local roads
5122;residential; Thin gray;100;highway=residential;Roads in residential areas
5123;living_street; Thin gray;100;highway=living_street;Streets where pedestrians have priority
5124;pedestrian; Thin gray;100;highway=pedestrian;Pedestrian only streets
5125;busway; Thin gray;100;highway=busway;Dedicated roads for bus, usually closed for any mode of transport except public transport.
5131;motorway_link; Bold orange;500;highway=motorway_link;Roads that connect from one road to another of the same of lower category.
5132;trunk_link; Bold orange;500;highway=trunk_link;Roads that connect from one road to another of the same of lower category.
5133;primary_link; SemiBold yellow;500;highway=primary_link;Roads that connect from one road to another of the same of lower category.
5134;secondary_link; SemiBold yellow;500;highway=secondary_link;Roads that connect from one road to another of the same of lower category.
5135;tertiary_link; Thin gray;500;highway=tertiary_link;Roads that connect from one road to another of the same of lower category.
5141;service; Thin gray;50;highway=service;Service roads for access to buildings, parking lots, etc.
5142;track; Thin Gray;50;highway=track without tracktype specification;For agricultural use, in forests, etc. Often gravel roads.
5143;track_grade1; Thin Gray;50;... with tracktype=grade1;"Tracks can be assigned a ""tracktype"" from 1 (asphalt or heavily compacted) to 5 (hardly visible)."
5144;track_grade2; Thin Gray;50;... with tracktype=grade2;"Tracks can be assigned a ""tracktype"" from 1 (asphalt or heavily compacted) to 5 (hardly visible)."
5145;track_grade3; Thin Gray;50;... with tracktype=grade3;"Tracks can be assigned a ""tracktype"" from 1 (asphalt or heavily compacted) to 5 (hardly visible)."
5146;track_grade4; Thin Gray;50;... with tracktype=grade4;"Tracks can be assigned a ""tracktype"" from 1 (asphalt or heavily compacted) to 5 (hardly visible)."
5147;track_grade5; Thin Gray;50;... with tracktype=grade5;"Tracks can be assigned a ""tracktype"" from 1 (asphalt or heavily compacted) to 5 (hardly visible)."
5151;bridleway; Thin Gray;20;highway=bridleway or highway=path with horse=designated;Paths for horse riding
5152;cycleway; Thin Gray;20;highway=cycleway or highway=path with cycle=designated;Paths for cycling
5153;footway; Thin Gray;20;highway=footway or highway=path with foot=designated;Footpaths
5154;path; Thin Gray;20;highway=path without cycle/foot/horse=designated;Unspecified paths
5155;steps; Thin Gray;20;highway=steps;Flights of steps on footpaths
5199;unknown; Thin Gray;20;highway=road;Unknown type of road or path
7201;forest;unknow;unknow;landuse=forest, natural=wood;A forest or woodland.
7202;park;unknow;unknow;leisure=park, leisure=common;A park.
7203;residential;unknow;unknow;landuse=residential;A residential area.
7204;industrial;unknow;unknow;landuse=industrial;An industrial area.
7206;cemetery;unknow;unknow;landuse=cemetery;A cemetery or graveyard.
7207;allotments;unknow;unknow;landuse=allotments;An area with small private gardens.
7208;meadow;unknow;unknow;landuse=meadow;A meadow
7209;commercial;unknow;unknow;landuse=commercial;A commercial area.
7210;nature_reserve;unknow;unknow;leisure=nature_reserve ;Nature reserves.
7211;recreation_ground;unknow;unknow;leisure=recreation_ground or landuse_recreation_ground;An open green space for general recreation.
7212;retail;unknow;unknow;landuse=retail;An area mainly used by shops.
7213;military;unknow;unknow;landuse=military;Military landuse
7214;quarry;unknow;unknow;landuse=quarry;A quarry.
7215;orchard;unknow;unknow;landuse=orchard;An area used for growing fruit-bearing trees.
7216;vineyard;unknow;unknow;landuse=vineyard;An area used for growing grapes.
7217;scrub;unknow;unknow;landuse=scrub;An area where scrub grows.
7218;grass;unknow;unknow;landuse=grass;An area where grass grows.
7219;heath;unknow;unknow;natural=heath;Heath areas.
7228;farmland;unknow;unknow;landuse=farmland;Agricultural land (areas where crops are grown)
7229;farmyard;unknow;unknow;landuse=farmyard;Area of land with farm buildings and the shrubbery/trees around them.
7233;landfill;unknow;unknow;landuse=landfill;A site for permanent or long term storage of waste materials.
